eval_in_export,param_candidate_id,obj_selectivity_proxy,obj_capacity_proxy,result_id,suggestion_id,created_at,phase,new_eval,candidate,selectivity_proxy,capacity_proxy_cm3_g,scalarized_desirability,best_so_far
50,pcu|N180|E78,0.4671043113164995,3.13625,132a38f7-3e69-4f04-b8fe-236231006aa2,3c2b7bf2-f13b-47db-993f-165bec426b3c,2026-08-12T16:37:44.884992+00:00,new,35,pcu_N180_E78,0.4671043113164995,3.13625,0.39830209910433284,0.49214764890003304
51,pcu|N180|E56,0.0661539285372252,3.51417,741ee8f8-d7dd-4f3a-98db-8de8c4ed6578,d0d37892-84d3-4fc3-b32a-c6172fbeac33,2026-08-12T16:37:52.200614+00:00,new,36,pcu_N180_E56,0.0661539285372252,3.51417,0.12902162000658254,0.49214764890003304
52,pcu|N180|E73,1.0,1.12663,75e5925b-938f-4f9d-a80b-fb92b8cd1fbe,e4453f65-a645-44c0-8c56-9617e48b6ec5,2026-08-12T16:37:55.211236+00:00,new,37,pcu_N180_E73,1.0,1.12663,0.41755388095851415,0.49214764890003304
53,pcu|N180|E79,1.0,0.89239,113f6b53-f5e9-48de-b988-5cf741aa820b,ed539d1a-2fb2-4c05-8224-a61c606a8464,2026-08-12T16:37:58.410406+00:00,new,38,pcu_N180_E79,1.0,0.89239,0.3803836820359119,0.49214764890003304
54,pcu|N180|E85,0.9639285016028324,1.26678,8896ddf3-1678-4dae-9423-612395ce7cd2,bf237a38-2a35-4dbf-9a55-47ed91255277,2026-08-12T16:38:01.822989+00:00,new,39,pcu_N180_E85,0.9639285016028324,1.26678,0.4280626860250268,0.49214764890003304
55,pcu|N214|E73,0.999927378153094,1.21133,33ad0cd4-fafe-4d78-8c53-c5a58346a434,dc49ef5b-3e38-476e-94f1-26b228ecac69,2026-08-12T16:38:04.000201+00:00,new,40,pcu_N214_E73,0.999927378153094,1.21133,0.42981945090634394,0.49214764890003304
56,pcu|N180|E88,1.0,1.37564,e385b5dd-38e7-40d0-8c98-b1c31ba1b870,aab61f41-e581-4eb6-98d2-830621582830,2026-08-12T16:38:09.892968+00:00,new,41,pcu_N180_E88,1.0,1.37564,0.4522743083936489,0.49214764890003304
57,pcu|N214|E129,0.3878142060593697,2.9537,40232d22-83cf-4b30-92b7-098631f77463,90b3de6f-f065-4d9f-8a20-a1a4df97293a,2026-08-12T16:38:13.077998+00:00,new,42,pcu_N214_E129,0.3878142060593697,2.9537,0.34779295570120716,0.49214764890003304
58,pcu|N214|E147,0.922335487345748,2.01509,cb2463f0-3ad5-4e0b-9a15-80c54b79101f,537cb174-14cc-40be-9a53-50dbedc0517a,2026-08-12T16:38:15.295039+00:00,new,43,pcu_N214_E147,0.922335487345748,2.01509,0.5019392186964188,0.5019392186964188
59,pcu|N214|E203,0.3088271017573212,3.84102,29c5a129-8c7b-4506-900a-96868b331e61,bd5337e2-e1a6-4558-87a0-bc45b4170806,2026-08-12T16:38:17.185230+00:00,new,44,pcu_N214_E203,0.3088271017573212,3.84102,0.3369829057744323,0.5019392186964188
60,pcu|N214|E133,0.3289510648099287,2.52487,200e332a-3d90-4ac5-a1d9-b75ed1eec8ba,e80163d9-47a6-46da-85f3-a425b4d1a5a0,2026-08-12T16:38:20.036715+00:00,new,45,pcu_N214_E133,0.3289510648099287,2.52487,0.2959200466625135,0.5019392186964188
61,pcu|N214|E167,1.0,0.894166,24be6e35-33b2-4adb-a928-777ab8867ff9,3e9b597d-21ee-4018-9746-492aa42a104a,2026-08-12T16:38:25.816859+00:00,new,46,pcu_N214_E167,1.0,0.894166,0.38068631138138215,0.5019392186964188
62,pcu|N214|E4,0.2963722153166991,3.9607,066120a2-b702-4c9f-8c96-7d61ed7c5d95,60d33c23-ebdd-4a0d-8615-c4ee950883e1,2026-08-12T16:38:28.230960+00:00,new,47,pcu_N214_E4,0.2963722153166991,3.9607,0.33282142152628197,0.5019392186964188
63,pcu|N214|E177,0.8289377148005842,1.7931,3b8ea7d9-3185-4375-a8f4-ed432901da1c,573b2921-7236-4554-a45f-f3479c6ced97,2026-08-12T16:38:30.628108+00:00,new,48,pcu_N214_E177,0.8289377148005842,1.7931,0.4493191658191535,0.5019392186964188
64,pcu|N214|E226,1.0,0.506108,1179c3e2-9117-4d3a-bba9-5c8302809fc2,b079acf7-2b4f-4a25-96dd-09460432746b,2026-08-12T16:38:32.814633+00:00,new,49,pcu_N214_E226,1.0,0.506108,0.3031777188091735,0.5019392186964188
65,pcu|N214|E213,0.6320423805436955,1.90745,33361fa0-cca1-4d18-a473-79c06afccb9c,f5844e50-6514-4897-9f13-b8f950870178,2026-08-12T16:38:35.833550+00:00,new,50,pcu_N214_E213,0.6320423805436955,1.90745,0.39140735755588046,0.5019392186964188
