exit_code=0

=== stdout (raw) ===
144
| 125 | cchex__iPr__Cy | cis-1,2-cyclohexylene | iPr | Cy | iPr2P-cis-1,2-cyclohexylene-PCy2 | no |
| 126 | cchex__iPr__Ph | cis-1,2-cyclohexylene | iPr | Ph | iPr2P-cis-1,2-cyclohexylene-PPh2 | no |
| 127 | cchex__iPr__pTol | cis-1,2-cyclohexylene | iPr | p-Tol | iPr2P-cis-1,2-cyclohexylene-Pp-Tol2 | no |
| 128 | cchex__iPr__pAnisyl | cis-1,2-cyclohexylene | iPr | p-Anisyl | iPr2P-cis-1,2-cyclohexylene-Pp-Anisyl2 | no |
| 129 | cchex__iPr__pCF3Ph | cis-1,2-cyclohexylene | iPr | p-CF3-Ph | iPr2P-cis-1,2-cyclohexylene-Pp-CF3-Ph2 | no |
| 130 | cchex__Cy__Cy | cis-1,2-cyclohexylene | Cy | Cy | Cy2P-cis-1,2-cyclohexylene-PCy2 | yes |
| 131 | cchex__Cy__Ph | cis-1,2-cyclohexylene | Cy | Ph | Cy2P-cis-1,2-cyclohexylene-PPh2 | no |
| 132 | cchex__Cy__pTol | cis-1,2-cyclohexylene | Cy | p-Tol | Cy2P-cis-1,2-cyclohexylene-Pp-Tol2 | no |
| 133 | cchex__Cy__pAnisyl | cis-1,2-cyclohexylene | Cy | p-Anisyl | Cy2P-cis-1,2-cyclohexylene-Pp-Anisyl2 | no |
| 134 | cchex__Cy__pCF3Ph | cis-1,2-cyclohexylene | Cy | p-CF3-Ph | Cy2P-cis-1,2-cyclohexylene-Pp-CF3-Ph2 | no |
| 135 | cchex__Ph__Ph | cis-1,2-cyclohexylene | Ph | Ph | Ph2P-cis-1,2-cyclohexylene-PPh2 | yes |
| 136 | cchex__Ph__pTol | cis-1,2-cyclohexylene | Ph | p-Tol | Ph2P-cis-1,2-cyclohexylene-Pp-Tol2 | no |
| 137 | cchex__Ph__pAnisyl | cis-1,2-cyclohexylene | Ph | p-Anisyl | Ph2P-cis-1,2-cyclohexylene-Pp-Anisyl2 | no |
| 138 | cchex__Ph__pCF3Ph | cis-1,2-cyclohexylene | Ph | p-CF3-Ph | Ph2P-cis-1,2-cyclohexylene-Pp-CF3-Ph2 | no |
| 139 | cchex__pTol__pTol | cis-1,2-cyclohexylene | p-Tol | p-Tol | p-Tol2P-cis-1,2-cyclohexylene-Pp-Tol2 | yes |
| 140 | cchex__pTol__pAnisyl | cis-1,2-cyclohexylene | p-Tol | p-Anisyl | p-Tol2P-cis-1,2-cyclohexylene-Pp-Anisyl2 | no |
| 141 | cchex__pTol__pCF3Ph | cis-1,2-cyclohexylene | p-Tol | p-CF3-Ph | p-Tol2P-cis-1,2-cyclohexylene-Pp-CF3-Ph2 | no |
| 142 | cchex__pAnisyl__pAnisyl | cis-1,2-cyclohexylene | p-Anisyl | p-Anisyl | p-Anisyl2P-cis-1,2-cyclohexylene-Pp-Anisyl2 | yes |
| 143 | cchex__pAnisyl__pCF3Ph | cis-1,2-cyclohexylene | p-Anisyl | p-CF3-Ph | p-Anisyl2P-cis-1,2-cyclohexylene-Pp-CF3-Ph2 | no |
| 144 | cchex__pCF3Ph__pCF3Ph | cis-1,2-cyclohexylene | p-CF3-Ph | p-CF3-Ph | p-CF3-Ph2P-cis-1,2-cyclohexylene-Pp-CF3-Ph2 | yes |


=== stderr (raw) ===


=== stderr (model-visible) ===
